token, fname, lname, job, city, country
48,Erin,Vibes,movie star,Spanish Town,Jamaica
49,Jah,Bennett,developer,Los Angeles,USA
50,Jerry,Edward,photographer,Ocho Rios,Jamaica
51,Francis,Anderson,designer,Virgin Islands,Virgin Islands
52,Taylor,Chin,doctor,San Jose,Costa Rica
53,Izzy,Jones,teacher,Ocho Rios,Jamaica
54,Ollie,Reid,dread maker,San Andres,Colombia
55,Lee,Wonder,rodie,Miami,USA
56,Erin,Grant,activist,São Paulo,Brazil
57,Daryl,Brown,movie star,Havana,Cuba
58,Lioness,Gardner,hustler,Ocho Rios,Jamaica
59,Natty,Bear,horns player,Addis Abeba,Ethiopia
60,Connie,Forbes,doctor,Montego Bay,Jamaica
61,Jennifer,Smith,developer,Negril,Jamaica
62,Cedella,Ford,developer,New York,USA
63,Sista,Jackson,journalist,Ocho Rios,Jamaica
64,Donavan,Hylton,poet,Negril,Jamaica
65,Ruby,Grant,story teller,Paris,France
66,Val,Williams,writter,Montego Bay,Jamaica
67,Mighty,Burton,philosopher,Accra,Ghana
68,Desmond,Williams,dealer,San Andres,Colombia
69,August,Reid,rodie,Montego Bay,Jamaica
70,Desmond,Ward,designer,Addis Abeba,Ethiopia
71,Ali,Green,rodie,Negril,Jamaica
72,Mel,EastWood,architect,São Luís,Brazil
73,Ellis,Wong,cooker,Toronto,Canada
74,Shelly,London,singer,Salvador,Brazil
75,Tony,Williams,rodie,Toronto,Canada
76,Linda,Juice,doctor,Spanish Town,Jamaica
77,Hopeton,Champion,farmer,London,UK
78,Adrian,London,artisan,Kingston,Jamaica
79,Mel,Jarret,designer,San Jose,Costa Rica
80,Natty,Bhing,dancer,St. Ann,Jamaica
81,Leslie,Moore,designer,Spanish Town,Jamaica
82,Bagga,Brooks,grower,Montego Bay,Jamaica
83,Casey,Gibson,rodie,Ocho Rios,Jamaica
84,Chris,Mystic,philosopher,Ocho Rios,Jamaica
85,Chevelle,Jarret,writter,Salvador,Brazil
86,Clive,Thompson,dread maker,Virgin Islands,Virgin Islands
87,Vic,Killah,grower,Negril,Jamaica
88,Daddy,Buchanan,drummer,Mexico City,Mexico
89,Jah,Grant,guitarist,Kingston,Jamaica
90,Bagga,Levi,bassist,St. Ann,Jamaica
91,Jackie,24,architect,Montego Bay,Jamaica
92,Kimberley,Star,box lifter,Kingston,Jamaica
93,Clive,Gardner,painter,Montego Bay,Jamaica
94,Clair,Cooper,writter,San Diego,USA
95,Zekiah,Silvera,trader,Negril,Jamaica
96,Angel,Bear,designer,New York,USA
97,Danny,Smokey,drummer,Kingston,Jamaica
98,Taylor,Johnson,bassist,St. Ann,Jamaica
99,Reggie,Jarret,developer,Negril,Jamaica
100,Clive,Black,artisan,London,UK
101,Jackie,Rodriguez,percussionist,San Diego,USA
102,Alex,Beckford,doctor,Paris,France
103,Angel,Echo,guitarist,Kingston,Jamaica
104,Ernie,Ruler,athlete,San Jose,Costa Rica
105,Lioness,Sterling,promoter,Birmingham,UK
106,Jah,Smokey,deejay,Mexico City,Mexico
107,Donavan,Buchanan,philosopher,St. Ann,Jamaica
108,Jackie,Gardner,percussionist,San Francisco,USA
109,Glen,Irie,percussionist,Manchester,UK
110,Sammy,Champion,activist,San Andres,Colombia
111,Tony,Nelson,mix engineer,Montego Bay,Jamaica
112,Reggie,Chin,poet,Negril,Jamaica
113,Brooke,EastWood,selectah,Montego Bay,Jamaica
114,Kaleisha,Collins,producer,Mexico City,Mexico
115,Clive,Lewis,hustler,Montego Bay,Jamaica
116,August,Burton,producer,Los Angeles,USA
117,Chris,Chung,photographer,Spanish Town,Jamaica
118,Zekiah,EastWood,percussionist,St. Ann,Jamaica
119,Daddy,Haynes,photographer,Toronto,Canada
120,Jean,Banton,guitarist,Lalibela,Ethiopia
121,Angel,Wong,horns player,New York,USA
122,Mighty,Lion,designer,Paris,France
123,Connie,Lion,designer,St. Ann,Jamaica
124,Willy,Black,philosopher,Kingston,Jamaica
125,Francis,Ruler,dread maker,Toronto,Canada
126,Kenroy,Fraser,rodie,St. Ann,Jamaica
127,Jude,Asher,journalist,New York,USA
128,Jess,Chin,painter,St. Ann,Jamaica
129,Tony,Whales,rodie,Montego Bay,Jamaica
130,Gabby,Prophet,movie star,Amsterdan,NL
131,Izzy,Silvera,writter,Los Angeles,USA
132,Ruby,Henderson,grower,San Diego,USA
133,Reggie,Ross,dread maker,Spanish Town,Jamaica
134,Bunny,EastWood,activist,Spanish Town,Jamaica
135,Leslie,Livingston,painter,Mexico City,Mexico
136,Phil,Davidson,doctor,Montego Bay,Jamaica
137,Cherry,Warren,designer,Ocho Rios,Jamaica
138,Stevie,Wong,rodie,Luanda,Angola
139,Ollie,Gardner,dealer,New York,USA
140,Hopeton,Campbell,architect,St. Ann,Jamaica
141,Brooke,Warriah,athlete,Toronto,Canada
142,Angel,Spirit,dancer,Los Angeles,USA
143,Bagga,Bennett,photographer,Ocho Rios,Jamaica
144,Jean,Winner,activist,São Paulo,Brazil
145,Bob,Burton,story teller,Spanish Town,Jamaica
146,General,Green,dancer,San Francisco,USA
147,Steff,West,box lifter,St. Ann,Jamaica
148,Benny,Sterling,cooker,San Andres,Colombia
149,Leroy,Williams,selectah,London,UK
150,Izzy,Moore,mix engineer,São Luís,Brazil
151,Brooke,Hold,dread maker,Kingston,Jamaica
152,Kaleisha,London,hustler,San Francisco,USA
153,Ashley,Jackson,cooker,London,UK
154,Willy,Haynes,hustler,Montego Bay,Jamaica
155,Gabby,London,activist,St. Ann,Jamaica
156,Bob,Youth,cooker,Mexico City,Mexico
157,Adrian,Fuller,artisan,Ocho Rios,Jamaica
158,Chance,Whales,hustler,Spanish Town,Jamaica
159,Bertie,Livingston,rodie,Kingston,Jamaica
